codice_regione,codice_nuts_1,descrizione_nuts_1,codice_nuts_2,denominazione_regione,sigla_regione,latitudine_regione,longitudine_regione,range_eta,totale_genere_maschile,totale_genere_femminile,totale_generale
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,0-15,87423,82474,169897
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,16-19,24402,22349,46751
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,20-29,67472,62611,130083
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,30-39,76472,74241,150713
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,40-49,94745,95315,190060
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,50-59,100048,104109,204157
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,60-69,80545,87160,167705
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,70-79,60810,69762,130572
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,80-89,34181,50307,84488
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,90+,5645,13870,19515
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,0-15,36113,33881,69994
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,16-19,11598,10434,22032
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,20-29,32068,29115,61183
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,30-39,33556,31648,65204
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,40-49,39260,39207,78467
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,50-59,43150,44672,87822
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,60-69,35360,37457,72817
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,70-79,24050,27755,51805
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,80-89,14507,21600,36107
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,90+,2488,5335,7823
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,0-15,45942,43082,89024
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,16-19,12077,11192,23269
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,20-29,31553,29541,61094
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,30-39,32108,31019,63127
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,40-49,37666,37998,75664
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,50-59,42217,41322,83539
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,60-69,27838,29203,57041
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,70-79,21422,25191,46613
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,80-89,11056,16052,27108
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,90+,1713,4452,6165
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,0-15,136966,129422,266388
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,16-19,39783,36960,76743
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,20-29,110520,103369,213889
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,30-39,120086,116582,236668
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,40-49,131205,135212,266417
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,50-59,138226,148578,286804
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,60-69,117306,123909,241215
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,70-79,82572,92636,175208
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,80-89,43907,63813,107720
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,90+,7161,15897,23058
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,0-15,451436,426431,877867
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,16-19,134723,126971,261694
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,20-29,355330,338149,693479
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,30-39,358948,356310,715258
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,40-49,410263,425334,835597
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,50-59,418843,449841,868684
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,60-69,320879,349988,670867
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,70-79,221431,262949,484380
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,80-89,98936,156337,255273
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,90+,13827,35217,49044
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,0-15,317256,298815,616071
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,16-19,83477,76568,160045
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,20-29,219087,201573,420660
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,30-39,251262,249979,501241
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,40-49,346381,346931,693312
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,50-59,347628,356469,704097
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,60-69,257808,284403,542211
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,70-79,210315,246814,457129
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,80-89,120582,177084,297666
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,90+,19985,51702,71687
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,0-15,78715,74639,153354
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,16-19,22068,20363,42431
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,20-29,57197,52154,109351
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,30-39,64103,61526,125629
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,40-49,89845,88832,178677
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,50-59,97642,98441,196083
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,60-69,74689,81100,155789
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,70-79,65048,76361,141409
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,80-89,32497,50810,83307
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,90+,4915,15271,20186
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,0-15,415547,392161,807708
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,16-19,109633,102331,211964
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,20-29,293505,270956,564461
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,30-39,341952,340756,682708
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,40-49,442726,463602,906328
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,50-59,449399,483431,932830
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,60-69,328257,368832,697089
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,70-79,247895,304112,552007
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,80-89,130682,200696,331378
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,90+,19585,49642,69227
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,0-15,92345,87335,179680
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,16-19,26647,24741,51388
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,20-29,71252,65071,136323
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,30-39,75013,72589,147602
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,40-49,104676,107694,212370
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,50-59,123371,129314,252685
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,60-69,96826,105949,202775
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,70-79,83499,102535,186034
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,80-89,48722,77088,125810
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,90+,8020,22139,30159
03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,0-15,740769,698393,1439162
03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,16-19,196221,181712,377933
03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,20-29,511074,475085,986159
03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,30-39,589044,575155,1164199
03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,40-49,782976,762097,1545073
03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,50-59,795710,796399,1592109
03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,60-69,572117,617001,1189118
03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,70-79,455093,541116,996209
03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,80-89,237587,371890,609477
03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,90+,31784,96379,128163
11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,0-15,103713,97551,201264
11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,16-19,28672,26494,55166
11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,20-29,76504,70235,146739
11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,30-39,83529,82858,166387
11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,40-49,111709,112741,224450
11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,50-59,116259,119935,236194
11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,60-69,92568,100598,193166
11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,70-79,72080,83861,155941
11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,80-89,43425,64400,107825
11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,90+,7232,18308,25540
14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,0-15,18767,17370,36137
14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,16-19,5619,5263,10882
14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,20-29,17029,15093,32122
14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,30-39,17988,16673,34661
14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,40-49,21285,20929,42214
14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,50-59,23481,23962,47443
14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,60-69,19739,20770,40509
14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,70-79,14301,15990,30291
14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,80-89,8289,12749,21038
14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,90+,1455,3764,5219
01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,0-15,289862,273689,563551
01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,16-19,79281,74338,153619
01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,20-29,212041,194149,406190
01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,30-39,231750,227617,459367
01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,40-49,315301,317444,632745
01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,50-59,339079,349619,688698
01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,60-69,269303,288928,558231
01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,70-79,219431,257985,477416
01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,80-89,121883,184829,306712
01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,90+,17127,47561,64688
16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,0-15,281888,266202,548090
16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,16-19,85582,80959,166541
16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,20-29,227341,211934,439275
16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,30-39,230626,230335,460961
16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,40-49,288521,294771,583292
16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,50-59,293018,312568,605586
16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,60-69,233307,257593,490900
16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,70-79,180128,210406,390534
16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,80-89,89342,132882,222224
16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,90+,13779,32123,45902
20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,0-15,98538,91982,190520
20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,16-19,28795,26820,55615
20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,20-29,80271,72004,152275
20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,30-39,94899,90533,185432
20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,40-49,126925,124005,250930
20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,50-59,131146,134922,266068
20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,60-69,108289,115352,223641
20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,70-79,78850,92007,170857
20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,80-89,37868,57304,95172
20,ITG,Isole,ITG2,Sardegna,SAR,39.21531192,9.110616306,90+,6115,14996,21111
19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,0-15,366285,346731,713016
19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,16-19,108125,99760,207885
19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,20-29,287944,271213,559157
19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,30-39,296453,293294,589747
19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,40-49,343417,355022,698439
19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,50-59,353625,379340,732965
19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,60-69,285538,315663,601201
19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,70-79,208531,248434,456965
19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,80-89,105216,157914,263130
19,ITG,Isole,ITG1,Sicilia,SIC,38.11569725,13.36235669,90+,15808,36977,52785
09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,0-15,248492,234303,482795
09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,16-19,67877,62882,130759
09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,20-29,176816,162927,339743
09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,30-39,200280,201208,401488
09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,40-49,274782,281885,556667
09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,50-59,286787,300323,587110
09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,60-69,220476,242777,463253
09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,70-79,187430,222721,410151
09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,80-89,104441,155212,259653
09,ITI,Centro,ITI1,Toscana,TOS,43.76923077,11.25588885,90+,16937,43999,60936
22,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,0-15,42551,40011,82562
22,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,16-19,11665,10759,22424
22,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,20-29,29786,27969,57755
22,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,30-39,30787,30275,61062
22,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,40-49,38770,39318,78088
22,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,50-59,42757,43048,85805
22,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,60-69,33053,33974,67027
22,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,70-79,24619,27697,52316
22,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,80-89,11898,18566,30464
22,ITH,Nord-Est,ITH2,Trento,TRE,46.06893511,11.12123097,90+,2028,5894,7922
10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,0-15,58624,55690,114314
10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,16-19,15866,14883,30749
10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,20-29,42502,38846,81348
10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,30-39,48571,48592,97163
10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,40-49,62792,65040,127832
10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,50-59,65426,69873,135299
10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,60-69,52676,57863,110539
10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,70-79,44181,50823,95004
10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,80-89,25144,37634,62778
10,ITI,Centro,ITI2,Umbria,UMB,43.10675841,12.38824698,90+,4112,11027,15139
02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,0-15,8881,8378,17259
02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,16-19,2451,2255,4706
02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,20-29,6144,5726,11870
02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,30-39,6648,6526,13174
02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,40-49,9196,9359,18555
02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,50-59,10316,10441,20757
02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,60-69,7850,8210,16060
02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,70-79,6184,6905,13089
02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,80-89,2994,4806,7800
02,ITC,Nord-Ovest,ITC2,Valle d'Aosta,VDA,45.73750286,7.320149366,90+,457,1307,1764
05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,0-15,350280,330831,681111
05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,16-19,96397,89853,186250
05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,20-29,249028,232198,481226
05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,30-39,267655,265186,532841
05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,40-49,373557,368495,742052
05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,50-59,399024,400436,799460
05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,60-69,293238,309972,603210
05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,70-79,228669,265774,494443
05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,80-89,115439,177591,293030
05,ITH,Nord-Est,ITH3,Veneto,VEN,45.43490485,12.33845213,90+,16430,49080,65510
